<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.03	14:30:00	1.18923	1.18933	1.18851	1.18925	1170	0	0
2021.08.03	15:00:00	1.18923	1.18926	1.18805	1.18819	1673	0	0
2021.08.03	15:30:00	1.18819	1.18870	1.18807	1.18859	1721	0	0
2021.08.03	16:00:00	1.18865	1.18876	1.18747	1.18754	1735	0	0
2021.08.03	16:30:00	1.18754	1.18770	1.18615	1.18692	3174	0	0
2021.08.03	17:00:00	1.18692	1.18757	1.18623	1.18665	2360	0	0
2021.08.03	17:30:00	1.18665	1.18698	1.18580	1.18590	2289	0	0
2021.08.03	18:00:00	1.18590	1.18638	1.18537	1.18560	1535	0	0
2021.08.03	18:30:00	1.18560	1.18629	1.18552	1.18586	1313	0	0
2021.08.03	19:00:00	1.18586	1.18686	1.18579	1.18670	1090	0	0
2021.08.03	19:30:00	1.18670	1.18688	1.18634	1.18682	737	0	0
2021.08.03	20:00:00	1.18683	1.18698	1.18613	1.18625	686	0	0
2021.08.03	20:30:00	1.18625	1.18642	1.18612	1.18636	604	0	0
2021.08.03	21:00:00	1.18637	1.18654	1.18615	1.18622	551	0	0
2021.08.03	21:30:00	1.18623	1.18662	1.18621	1.18625	632	0	0
2021.08.03	22:00:00	1.18625	1.18668	1.18625	1.18662	357	0	0
2021.08.03	22:30:00	1.18662	1.18676	1.18640	1.18660	473	0	0
2021.08.03	23:00:00	1.18660	1.18664	1.18620	1.18627	350	0	0
2021.08.03	23:30:00	1.18626	1.18653	1.18617	1.18637	348	0	0
2021.08.04	00:00:00	1.18631	1.18640	1.18590	1.18612	170	0	11
2021.08.04	00:30:00	1.18611	1.18639	1.18611	1.18633	224	0	6
2021.08.04	01:00:00	1.18631	1.18660	1.18630	1.18654	362	0	0
2021.08.04	01:30:00	1.18653	1.18695	1.18648	1.18694	573	0	0
2021.08.04	02:00:00	1.18694	1.18698	1.18672	1.18686	213	0	0
2021.08.04	02:30:00	1.18685	1.18701	1.18682	1.18692	142	0	0
2021.08.04	03:00:00	1.18687	1.18692	1.18608	1.18651	853	0	0
